id,domain,title,status,evidence,notes,source
A-0001,architecture,ADR directory with accepted ADRs,satisfied,"docs/adr/0001-0006 — 6 ADRs (polyglot gateway, hexagonal, error type, lease, sqlite, tracing)",,substrate-v3
A-0001,agileplus,Accessibility: a11y Audit,reference,,,agileplus
A-0001,agentic-github,0x4D31/airt/module1.html,reference,https://github.com/0x4D31/airt,Source: gh-garak-llm-vulnerability,agentic-research
A-0002,architecture,ARCHITECTURE.md present,satisfied,"ARCHITECTURE.md (15.9 KB) at repo root — 9 sections covering crate roles, ports, dispatch flow, CI, ADRs, runbook location",,substrate-v3
A-0002,agileplus,Agent: AI-Assisted Workflow,reference,,,agileplus
A-0002,agentic-github,0x4D31/airt/README.md,reference,https://github.com/0x4D31/airt,Source: gh-pyrit,agentic-research
A-0003,architecture,async-trait for dyn-compatible traits,satisfied,"Cargo.toml:73 async-trait = ""0.1""; ports use #[async_trait]",,substrate-v3
A-0003,agileplus,Agent: Prompt Engineering,reference,,,agileplus
A-0003,agentic-github,13eth-a/390_project/program.md,reference,https://github.com/13eth-a/390_project,Source: gh-agent-evaluation-criteria,agentic-research
A-0004,architecture,canonical domain types in substrate-core,satisfied,"crates/substrate-core/src/domain.rs holds Task, RoutingDecision, StructuredResult",,substrate-v3
A-0004,agileplus,Architecture: Crates,reference,,,agileplus
A-0004,agentic-github,1979139113/0day-today-exploits/11791.txt,reference,https://github.com/1979139113/0day-today-exploits,Source: gh-pyrit,agentic-research
A-0005,architecture,composition root pattern,satisfied,driver-http/src/lib.rs:42-76 AppState::new wires concrete adapters,,substrate-v3
A-0005,agileplus,Architecture: Module Design,reference,,,agileplus
A-0005,agentic-github,a16z-infra/llm-app-stack/README.md,reference,https://github.com/a16z-infra/llm-app-stack,Source: gh-promptfoo,agentic-research
A-0006,architecture,DAG crate separate from scheduler,satisfied,"crates/substrate-dag; crates/substrate-schedule; petgraph = ""0.8""",,substrate-v3
A-0006,agileplus,Architecture: Resolver,reference,,,agileplus
A-0006,agentic-github,a5c-ai/babysitter/library/specializations/ai-agents-conversational/skills/phoenix-arize-setup/README.md,reference,https://github.com/a5c-ai/babysitter,Source: gh-phoenix-arize,agentic-research
A-0007,architecture,diesel vs sqlx vs rusqlite decision,satisfied,"Cargo.toml:84 rusqlite = ""0.40"" with bundled feature; chosen for direct SQL + minimal runtime cost",,substrate-v3
A-0007,agileplus,CI: Lint (Clippy/Trunk),reference,,,agileplus
A-0007,agentic-github,a5c-ai/babysitter/library/specializations/ai-agents-conversational/skills/phoenix-arize-setup/SKILL.md,reference,https://github.com/a5c-ai/babysitter,Source: gh-phoenix-arize,agentic-research
A-0008,architecture,hexagonal ports/adapters,satisfied,"substrate-core defines trace_port, mailbox_port, routing_port, dispatch_api",,substrate-v3
